Name,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,Region,City,State-Province,CategoryName,ItemCost,NumberofItem
Carol,1984-07-18,S,F,carol8@adventure-works.com,40000,East,Chula Vista,California,Bikes,3399.99,92
Alan,1955-09-07,M,M,alan23@adventure-works.com,30000,South,Hobart,Tasmania,Bikes,3578.27,92
Daniel,1955-08-04,S,M,daniel18@adventure-works.com,30000,West,Caloundra,Queensland,Bikes,3374.99,56
Heidi,1955-08-07,S,F,heidi19@adventure-works.com,40000,East,Matraville,New South Wales,Bikes,3578.27,75
Ana,1984-08-20,M,F,ana0@adventure-works.com,60000,East,San Diego,California,Bikes,3578.27,2
Deanna,1956-03-10,M,F,deanna33@adventure-works.com,40000,South,Geelong,Victoria,Bikes,3578.27,37
Gilbert,1956-03-05,M,M,gilbert35@adventure-works.com,40000,West,East Brisbane,Queensland,Bikes,3399.99,78
Michele,1957-04-03,M,F,michele19@adventure-works.com,40000,South,Newcastle,New South Wales,Bikes,3578.27,5
Carl,1957-10-12,M,M,carl12@adventure-works.com,70000,East,Lane Cove,New South Wales,Bikes,3578.27,96
Marc,1958-04-27,M,M,marc6@adventure-works.com,80000,South,Findon,South Australia,Bikes,3578.27,42
Ashlee,1958-04-01,S,F,ashlee19@adventure-works.com,80000,West,Townsville,Queensland,Bikes,3578.27,52
Jon,1958-03-17,M,M,jon28@adventure-works.com,80000,East,Warrnambool,Victoria,Bikes,3578.27,99
Todd,1958-02-27,M,M,todd14@adventure-works.com,80000,East,Gold Coast,Queensland,Bikes,3578.27,62
Noah,1979-09-02,M,M,noah5@adventure-works.com,40000,South,Portland,Oregon,Bikes,3399.99,1
Angela,1979-04-07,S,F,angela41@adventure-works.com,40000,West,Redmond,Washington,Components,3578.27,76
Chase,1979-12-07,M,M,chase21@adventure-works.com,40000,South,Downey,California,Components,3578.27,5
Jessica,1977-10-09,M,F,jessica29@adventure-works.com,60000,East,La Jolla,California,Components,3578.27,83
Grace,1977-11-27,M,F,grace62@adventure-works.com,70000,South,Lebanon,Oregon,Components,3578.27,13
Caleb,1980-09-25,S,M,caleb40@adventure-works.com,60000,West,Port Orchard,Washington,Components,3578.27,34
Tiffany,1959-09-23,S,F,tiffany17@adventure-works.com,80000,East,Warrnambool,Victoria,Components,3578.27,71
Carolyn,1959-09-21,S,F,carolyn30@adventure-works.com,80000,East,Gold Coast,Queensland,Components,3578.27,25
Willie,1959-04-05,M,M,willie40@adventure-works.com,80000,South,Sunbury,Victoria,Components,3578.27,90
Linda,1959-06-26,S,F,linda31@adventure-works.com,80000,West,Hawthorne,Queensland,Components,3578.27,52
Casey,1959-02-06,S,F,casey6@adventure-works.com,80000,South,St. Leonards,New South Wales,Components,3578.27,85
Amy,1960-08-14,S,F,amy16@adventure-works.com,70000,East,Springwood,New South Wales,Components,3578.27,34
Levi,1960-08-28,S,M,levi6@adventure-works.com,70000,South,Cloverdale,South Australia,Components,3578.27,65
Felicia,1961-11-16,S,F,felicia4@adventure-works.com,80000,West,Bendigo,Victoria,Components,699.0982,62
Blake,1961-07-13,S,M,blake9@adventure-works.com,80000,East,Wollongong,New South Wales,Components,3374.99,87
Leah,1961-09-19,S,F,leah7@adventure-works.com,80000,East,Melton,Victoria,Components,3578.27,33
Gina,1978-01-10,S,F,gina1@adventure-works.com,40000,South,Cliffside,British Columbia,Components,3578.27,100
Donald,1963-03-11,S,M,donald20@adventure-works.com,160000,West,Geelong,Victoria,Components,3578.27,51
Damien,1963-07-17,M,M,damien32@adventure-works.com,170000,South,Perth,South Australia,Components,3578.27,97
Savannah,1970-07-24,M,F,savannah39@adventure-works.com,120000,East,Concord,California,Accessories,3578.27,90
Angela,1970-08-04,S,F,angela17@adventure-works.com,130000,South,Fremont,California,Accessories,3578.27,7
Alyssa,1970-03-15,M,F,alyssa37@adventure-works.com,130000,West,Lincoln Acres,California,Accessories,3578.27,36
Lucas,1961-09-12,S,M,lucas7@adventure-works.com,80000,East,Lebanon,Oregon,Accessories,3399.99,34
Emily,1961-07-19,S,F,emily1@adventure-works.com,60000,East,Newport Beach,California,Accessories,3578.27,60
Ryan,1961-12-23,M,M,ryan43@adventure-works.com,70000,South,Santa Monica,California,Accessories,3374.99,18
Tamara,1961-10-03,M,F,tamara6@adventure-works.com,70000,West,Chula Vista,California,Accessories,3578.27,34
Hunter,1961-11-25,M,M,hunter64@adventure-works.com,80000,South,San Diego,California,Components,3578.27,85
Abigail,1961-02-05,S,F,abigail25@adventure-works.com,80000,East,Long Beach,California,Components,3578.27,41
Trevor,1961-12-17,S,M,trevor18@adventure-works.com,90000,South,Los Angeles,California,Components,699.0982,19
Dalton,1961-04-04,M,M,dalton37@adventure-works.com,90000,West,Haney,British Columbia,Components,3578.27,40
Cheryl,1971-05-06,M,F,cheryl4@adventure-works.com,90000,East,East Brisbane,Queensland,Accessories,3578.27,100
Aimee,1971-09-10,M,F,aimee13@adventure-works.com,100000,East,Wollongong,New South Wales,Accessories,3578.27,2
Cedric,1966-04-01,S,M,cedric15@adventure-works.com,70000,South,Cranbourne,Victoria,Accessories,3399.99,13
Chad,1966-09-01,S,M,chad9@adventure-works.com,70000,West,Port Macquarie,New South Wales,Components,3578.27,55
Andrés,1966-08-10,M,M,andrés18@adventure-works.com,60000,South,North Sydney,New South Wales,Components,3578.27,50
Edwin,1965-10-27,M,M,edwin39@adventure-works.com,60000,East,Warrnambool,Victoria,Components,3399.99,81
Mallory,1965-05-01,S,F,mallory7@adventure-works.com,60000,South,Rhodes,New South Wales,Components,699.0982,20
Adam,1965-03-08,M,M,adam2@adventure-works.com,60000,West,Port Macquarie,New South Wales,Components,3578.27,74
Latasha,1964-09-15,S,F,latasha10@adventure-works.com,60000,East,Cloverdale,South Australia,Components,3578.27,52
Abby,1969-05-08,S,F,abby4@adventure-works.com,70000,East,Cranbourne,Victoria,Components,3578.27,76
Julia,1969-04-21,S,F,julia7@adventure-works.com,80000,South,Sydney,New South Wales,Components,3578.27,96
Cassie,1968-10-17,S,F,cassie13@adventure-works.com,70000,West,Darlinghurst,New South Wales,Components,3578.27,26
Edgar,1968-03-11,M,M,edgar11@adventure-works.com,70000,South,Gold Coast,Queensland,Components,3578.27,96
Candace,1968-12-28,S,F,candace15@adventure-works.com,70000,East,Matraville,New South Wales,Components,3578.27,63
Jessie,1968-09-11,S,M,jessie9@adventure-works.com,70000,South,Warrnambool,Victoria,Components,3399.99,98
Bianca,1963-09-09,M,F,bianca7@adventure-works.com,90000,West,St. Leonards,New South Wales,Components,3374.99,1
Kari,1967-07-14,S,F,kari25@adventure-works.com,70000,East,Port Macquarie,New South Wales,Components,3374.99,91
Ruben,1967-11-05,S,M,ruben1@adventure-works.com,70000,East,South Melbourne,Victoria,Components,3399.99,59
Curtis,1966-06-06,M,M,curtis5@adventure-works.com,60000,South,Darlinghurst,New South Wales,Components,3578.27,13
Meredith,1966-02-23,M,F,meredith34@adventure-works.com,60000,West,Geelong,Victoria,Components,3578.27,39
Crystal,1966-09-09,M,F,crystal3@adventure-works.com,60000,South,Hervey Bay,Queensland,Components,3399.99,89
Micheal,1966-02-21,M,M,micheal11@adventure-works.com,70000,East,Perth,South Australia,Components,3399.99,16
Leslie,1966-05-28,S,F,leslie7@adventure-works.com,70000,South,Rhodes,New South Wales,Components,3578.27,17
Alvin,1966-02-12,M,M,alvin20@adventure-works.com,70000,West,St. Leonards,New South Wales,Components,699.0982,59
Clinton,1966-10-07,M,M,clinton14@adventure-works.com,70000,East,Sydney,New South Wales,Components,3578.27,93
April,1965-02-21,M,F,april1@adventure-works.com,70000,East,Matraville,New South Wales,Components,3578.27,34
Alvin,1961-07-03,S,M,alvin21@adventure-works.com,80000,South,Lavender Bay,New South Wales,Components,3578.27,21
Evan,1939-04-10,S,M,evan8@adventure-works.com,30000,West,Port Macquarie,New South Wales,Components,3578.27,40
Beth,1940-08-09,S,F,beth8@adventure-works.com,40000,South,Sydney,New South Wales,Components,3578.27,26
Orlando,1964-11-18,M,M,orlando19@adventure-works.com,70000,East,Newcastle,New South Wales,Components,3578.27,81
Byron,1964-04-02,M,M,byron9@adventure-works.com,70000,South,North Sydney,New South Wales,Components,3578.27,8
Philip,1964-06-20,M,M,philip4@adventure-works.com,70000,West,Sunbury,Victoria,Components,3578.27,49
Ross,1961-07-27,S,M,ross1@adventure-works.com,80000,East,Warrnambool,Victoria,Components,699.0982,26
Dana,1960-04-08,S,F,dana2@adventure-works.com,70000,East,Seaford,Victoria,Components,3578.27,87
Shaun,1953-04-07,M,M,shaun16@adventure-works.com,10000,South,North Ryde,New South Wales,Components,3578.27,53
Jan,1979-10-21,M,F,jan11@adventure-works.com,40000,West,San Gabriel,California,Components,3578.27,9
Samantha,1979-12-05,M,F,samantha35@adventure-works.com,40000,South,Renton,Washington,Components,3578.27,98
Julia,1979-08-05,S,F,julia17@adventure-works.com,40000,East,Sedro Woolley,Washington,Components,3399.99,96
Caroline,1984-01-06,M,F,caroline21@adventure-works.com,30000,South,Lebanon,Oregon,Components,3399.99,60
Amanda,1984-03-12,M,F,amanda7@adventure-works.com,30000,West,Haney,British Columbia,Clothing,3578.27,13
Melissa,1984-10-26,S,F,melissa31@adventure-works.com,30000,East,Langford,British Columbia,Clothing,3374.99,28
Angela,1984-09-08,S,F,angela23@adventure-works.com,30000,East,Lake Oswego,Oregon,Clothing,3374.99,53
Larry,1950-02-26,S,M,larry14@adventure-works.com,10000,South,Perth,South Australia,Clothing,3578.27,98
Marcus,1983-11-03,S,M,marcus14@adventure-works.com,30000,West,Burlingame,California,Accessories,3578.27,26
Brianna,1982-10-26,S,F,brianna30@adventure-works.com,40000,South,Metchosin,British Columbia,Accessories,3578.27,98
Jasmine,1982-07-20,M,F,jasmine7@adventure-works.com,40000,East,Spokane,Washington,Accessories,3578.27,61
Lauren,1982-09-15,M,F,lauren23@adventure-works.com,40000,South,Glendale,California,Accessories,3399.99,11
Tanya,1942-11-09,S,F,tanya2@adventure-works.com,30000,West,Cloverdale,South Australia,Accessories,3578.27,9
Javier,1981-02-11,S,M,javier1@adventure-works.com,30000,East,Burbank,California,Clothing,3578.27,16
Nicole,1981-06-21,M,F,nicole42@adventure-works.com,40000,East,Daly City,California,Clothing,3578.27,70
Eduardo,1981-08-14,S,M,eduardo55@adventure-works.com,40000,South,Langford,British Columbia,Accessories,699.0982,1
Jonathan,1981-02-04,M,M,jonathan4@adventure-works.com,40000,West,Lakewood,California,Accessories,699.0982,80
Edward,1983-09-09,S,M,edward48@adventure-works.com,40000,South,Ballard,Washington,Accessories,3578.27,14
Jasmine,1983-12-08,S,F,jasmine46@adventure-works.com,40000,East,Beaverton,Oregon,Accessories,3374.99,54
Karla,1943-08-26,S,F,karla20@adventure-works.com,40000,South,Matraville,New South Wales,Clothing,699.0982,23
Ernest,1943-02-05,M,M,ernest6@adventure-works.com,60000,West,Warrnambool,Victoria,Clothing,3578.27,74
Ross,1945-08-16,M,M,ross32@adventure-works.com,40000,East,East Brisbane,Queensland,Clothing,3578.27,19
Theodore,1945-04-20,M,M,theodore14@adventure-works.com,40000,East,Hervey Bay,Queensland,Clothing,3578.27,20
Russell,1945-03-15,S,M,russell6@adventure-works.com,40000,South,Sunbury,Victoria,Clothing,3374.99,68
Melinda,1946-02-25,S,F,melinda9@adventure-works.com,60000,West,Sydney,New South Wales,Clothing,3578.27,88
James,1980-01-10,S,M,james77@adventure-works.com,40000,South,Puyallup,Washington,Clothing,3578.27,92
Angela,1980-06-23,M,F,angela34@adventure-works.com,40000,East,Renton,Washington,Clothing,3374.99,86
Megan,1980-08-21,S,F,megan25@adventure-works.com,40000,South,Woodburn,Oregon,Clothing,3374.99,13
Hunter,1980-01-26,S,M,hunter50@adventure-works.com,40000,West,Burbank,California,Clothing,699.0982,45
Maria,1980-02-07,S,F,maria47@adventure-works.com,40000,East,Lakewood,California,Clothing,3374.99,80
Hannah,1979-06-11,M,F,hannah32@adventure-works.com,40000,East,Tacoma,Washington,Clothing,3578.27,66
Jason,1979-10-08,S,M,jason46@adventure-works.com,40000,South,San Gabriel,California,Clothing,3578.27,78
Brianna,1979-09-17,S,F,brianna57@adventure-works.com,40000,West,Woodland Hills,California,Clothing,699.0982,100
Maurice,1978-01-08,S,M,maurice4@adventure-works.com,40000,South,Concord,California,Clothing,3578.27,29
Emily,1978-04-22,S,F,emily27@adventure-works.com,40000,East,Concord,California,Clothing,3578.27,29
Chase,1978-03-05,S,M,chase10@adventure-works.com,40000,South,La Jolla,California,Clothing,3578.27,81
Gabriel,1978-12-20,M,M,gabriel21@adventure-works.com,40000,West,Spring Valley,California,Clothing,3578.27,71
Devin,1978-05-05,S,M,devin63@adventure-works.com,40000,East,Torrance,California,Clothing,3578.27,67
Jocelyn,1977-07-18,M,F,jocelyn18@adventure-works.com,60000,East,Oakland,California,Clothing,3578.27,6
Ashley,1976-04-24,S,F,ashley18@adventure-works.com,70000,South,Olympia,Washington,Clothing,3578.27,89
Jasmine,1976-08-01,S,F,jasmine43@adventure-works.com,80000,West,Issaquah,Washington,Clothing,3578.27,67
David,1972-05-15,S,M,david83@adventure-works.com,80000,South,Oakland,California,Clothing,3578.27,40
Bryce,1972-06-22,M,M,bryce8@adventure-works.com,90000,East,Coronado,California,Clothing,3578.27,55
Carol,1972-02-05,M,F,carol5@adventure-works.com,90000,South,Burien,Washington,Accessories,3374.99,13
Jonathan,1971-10-09,S,M,jonathan43@adventure-works.com,100000,West,Woodland Hills,California,Accessories,3578.27,3
Gabrielle,1971-11-21,M,F,gabrielle58@adventure-works.com,100000,East,Lynnwood,Washington,Accessories,3578.27,15
Sarah,1971-09-01,S,F,sarah13@adventure-works.com,110000,East,W. Linn,Oregon,Accessories,699.0982,29
Nicholas,1971-07-13,M,M,nicholas19@adventure-works.com,110000,South,Los Angeles,California,Accessories,3578.27,87
Luis,1967-03-05,S,M,luis24@adventure-works.com,70000,West,Beverly Hills,California,Accessories,3578.27,66
Mason,1972-01-25,M,M,mason25@adventure-works.com,90000,South,Haney,British Columbia,Accessories,3578.27,67
Jose,1946-07-04,M,M,jose6@adventure-works.com,110000,East,San Diego,California,Clothing,3399.99,79
Nathan,1947-08-24,M,M,nathan55@adventure-works.com,100000,South,Lakewood,California,Components,3399.99,88
Molly,1947-06-14,M,F,molly18@adventure-works.com,120000,West,Beverly Hills,California,Components,699.0982,11
April,1947-01-02,M,F,april18@adventure-works.com,160000,East,Chula Vista,California,Components,3578.27,5
Devin,1947-08-08,M,M,devin13@adventure-works.com,170000,East,Los Angeles,California,Components,3578.27,73
Stephanie,1948-08-25,S,F,stephanie19@adventure-works.com,70000,South,Sedro Woolley,Washington,Components,3578.27,37
Jasmine,1948-07-15,S,F,jasmine19@adventure-works.com,70000,West,Santa Cruz,California,Components,3578.27,24
Meghan,1948-11-16,S,F,meghan3@adventure-works.com,70000,South,Concord,California,Components,699.0982,75
Ashley,1948-10-08,S,F,ashley31@adventure-works.com,70000,East,Metchosin,British Columbia,Components,3578.27,4
Sarah,1948-05-21,S,F,sarah25@adventure-works.com,70000,South,Palo Alto,California,Components,3578.27,10
Jennifer,1948-02-22,M,F,jennifer63@adventure-works.com,60000,West,Burien,Washington,Components,699.0982,50
Catherine,1948-09-06,M,F,catherine16@adventure-works.com,60000,East,San Gabriel,California,Components,3399.99,44
Lawrence,1948-07-15,S,M,lawrence14@adventure-works.com,60000,East,Bellingham,Washington,Components,3578.27,35
Carson,1948-06-22,M,M,carson17@adventure-works.com,70000,South,Beverly Hills,California,Components,3578.27,86
Kristi,1949-12-18,S,F,kristi39@adventure-works.com,70000,West,Colma,California,Components,3578.27,97
James,1949-09-13,M,M,james79@adventure-works.com,60000,South,Seattle,Washington,Components,3399.99,66
Ian,1949-02-13,M,M,ian72@adventure-works.com,60000,East,Woodburn,Oregon,Components,3578.27,33
Jacqueline,1949-06-10,M,F,jacqueline0@adventure-works.com,60000,South,Palo Alto,California,Components,3578.27,92
Megan,1950-02-10,M,F,megan55@adventure-works.com,60000,West,Renton,Washington,Components,3578.27,9
Alfredo,1950-06-07,M,M,alfredo10@adventure-works.com,60000,East,Beaverton,Oregon,Components,3578.27,41
Andrea,1950-06-18,M,F,andrea18@adventure-works.com,70000,East,Seattle,Washington,Components,699.0982,82
Brooke,1950-11-26,S,F,brooke3@adventure-works.com,70000,South,Santa Cruz,California,Components,3578.27,8
Jacqueline,1950-11-06,M,F,jacqueline1@adventure-works.com,70000,West,Burlingame,California,Components,3578.27,96
Jason,1951-11-22,M,M,jason18@adventure-works.com,70000,South,Victoria,British Columbia,Components,3399.99,10
Amanda,1951-08-18,M,F,amanda37@adventure-works.com,70000,East,Santa Monica,California,Components,3578.27,13
Alexia,1951-08-26,M,F,alexia0@adventure-works.com,80000,South,Lakewood,California,Components,3578.27,77
Luis,1952-08-21,M,M,luis21@adventure-works.com,40000,West,Port Hammond,British Columbia,Components,3374.99,63
Destiny,1952-06-01,M,F,destiny33@adventure-works.com,40000,East,Beaverton,Oregon,Components,3374.99,60
Abby,1952-07-24,M,F,abby13@adventure-works.com,40000,East,Burien,Washington,Components,3578.27,28
Blake,1952-09-24,M,M,blake60@adventure-works.com,60000,South,Lynnwood,Washington,Components,3578.27,87
Danielle,1952-07-19,S,F,danielle12@adventure-works.com,60000,West,Renton,Washington,Components,3578.27,59
Maria,1952-02-04,M,F,maria4@adventure-works.com,60000,South,Glendale,California,Components,3578.27,47
Allison,1952-01-13,M,F,allison21@adventure-works.com,60000,East,Lincoln Acres,California,Components,3374.99,79
Edward,1952-06-08,M,M,edward50@adventure-works.com,70000,South,West Covina,California,Components,3399.99,88
Samantha,1953-10-12,M,F,samantha42@adventure-works.com,40000,West,Haney,British Columbia,Components,3578.27,59
Chloe,1953-11-05,M,F,chloe4@adventure-works.com,40000,East,Metchosin,British Columbia,Components,3578.27,12
Stephanie,1953-05-14,S,F,stephanie11@adventure-works.com,60000,East,Edmonds,Washington,Components,3578.27,54
Charles,1953-11-07,S,M,charles9@adventure-works.com,60000,South,Milwaukie,Oregon,Components,3578.27,55
Ana,1954-06-21,M,F,ana7@adventure-works.com,40000,West,Royal Oak,British Columbia,Components,3578.27,41
Jasmine,1954-05-20,S,F,jasmine32@adventure-works.com,60000,South,Portland,Oregon,Components,3578.27,23
Natalie,1954-02-11,S,F,natalie58@adventure-works.com,60000,East,Portland,Oregon,Components,3578.27,99
Olivia,1954-09-11,S,F,olivia4@adventure-works.com,60000,South,Tacoma,Washington,Components,3578.27,11
Charles,1954-12-02,M,M,charles69@adventure-works.com,60000,West,Woodburn,Oregon,Components,3578.27,45
Erica,1954-02-23,M,F,erica5@adventure-works.com,60000,East,Colma,California,Components,3578.27,44
Nathan,1954-06-10,M,M,nathan3@adventure-works.com,70000,East,Lakewood,California,Components,3578.27,60
Alexandra,1954-08-17,M,F,alexandra11@adventure-works.com,80000,South,Santa Monica,California,Components,3578.27,17
Hailey,1955-09-16,S,F,hailey30@adventure-works.com,70000,West,Langley,British Columbia,Components,699.0982,32
Tiffany,1955-09-06,S,F,tiffany3@adventure-works.com,70000,South,Burien,Washington,Components,3374.99,13
Madison,1955-02-16,M,F,madison22@adventure-works.com,60000,East,Renton,Washington,Components,3578.27,35
Sydney,1955-09-27,M,F,sydney26@adventure-works.com,60000,South,W. Linn,Oregon,Components,699.0982,62
Marshall,1955-08-12,S,M,marshall35@adventure-works.com,60000,West,Colma,California,Components,3578.27,30
Ashley,1955-04-19,M,F,ashley3@adventure-works.com,60000,East,El Cajon,California,Components,3578.27,35
Adrian,1955-12-03,S,M,adrian21@adventure-works.com,70000,East,Redwood City,California,Components,3578.27,24
Amber,1955-04-03,M,F,amber4@adventure-works.com,70000,South,Santa Monica,California,Components,3578.27,22
Dennis,1956-11-14,M,M,dennis1@adventure-works.com,60000,West,Bremerton,Washington,Components,3578.27,100
Hailey,1956-09-27,M,F,hailey38@adventure-works.com,60000,South,Everett,Washington,Bikes,3399.99,40
Todd,1956-09-09,M,M,todd5@adventure-works.com,70000,East,Berkeley,California,Bikes,3578.27,34
Anna,1956-11-19,S,F,anna46@adventure-works.com,70000,South,Long Beach,California,Bikes,3399.99,88
Angel,1956-02-08,M,M,angel24@adventure-works.com,70000,West,Ballard,Washington,Bikes,3578.27,76
Jeremy,1956-03-05,S,M,jeremy29@adventure-works.com,70000,East,Bellingham,Washington,Bikes,3578.27,28
Clarence,1962-09-23,S,M,clarence36@adventure-works.com,130000,East,Solingen,Nordrhein-Westfalen,Bikes,3578.27,79
Mayra,1962-08-10,S,F,mayra9@adventure-works.com,130000,South,Birmingham,England,Bikes,3578.27,59
Latoya,1962-10-06,M,F,latoya18@adventure-works.com,130000,West,London,England,Bikes,3578.27,69
Anne,1962-12-11,M,F,anne4@adventure-works.com,160000,South,Watford,England,Bikes,3578.27,22
Lisa,1961-10-11,S,F,lisa24@adventure-works.com,100000,East,Les Ulis,Essonne,Bikes,3578.27,59
Larry,1961-11-11,M,M,larry9@adventure-works.com,110000,South,Versailles,Yveline,Bikes,3374.99,38
Robin,1961-10-09,M,F,robin2@adventure-works.com,150000,West,Esher-Molesey,England,Bikes,3578.27,71
Alexis,1961-11-26,S,F,alexis28@adventure-works.com,170000,East,Runcorn,England,Bikes,3578.27,97
Ricky,1960-10-27,M,M,ricky15@adventure-works.com,120000,East,Hamburg,Hessen,Bikes,3578.27,58
Latasha,1960-10-09,M,F,latasha21@adventure-works.com,120000,South,Hamburg,Hamburg,Bikes,699.0982,11
Claudia,1960-06-06,S,F,claudia7@adventure-works.com,130000,West,Lancaster,England,Bikes,699.0982,1
Tristan,1959-03-26,M,M,tristan19@adventure-works.com,110000,South,Saint-Denis,Seine Saint Denis,Bikes,3578.27,44
Cindy,1959-07-13,M,F,cindy3@adventure-works.com,130000,East,Sulzbach Taunus,Saarland,Bikes,699.0982,2
Shannon,1959-03-12,M,F,shannon4@adventure-works.com,170000,South,Woolston,England,Bikes,3578.27,65
Xavier,1936-07-04,S,M,xavier51@adventure-works.com,30000,West,Haney,British Columbia,Bikes,699.0982,66
Nicholas,1936-06-07,S,M,nicholas16@adventure-works.com,90000,East,Lemon Grove,California,Bikes,3578.27,14
José,1937-02-28,M,M,josé54@adventure-works.com,60000,East,Victoria,British Columbia,Bikes,3578.27,11
Johnathan,1937-03-03,M,M,johnathan5@adventure-works.com,70000,South,Burien,Washington,Bikes,3578.27,81
Colin,1937-04-04,M,M,colin8@adventure-works.com,70000,West,Burien,Washington,Bikes,3578.27,8
Katelyn,1937-09-20,M,F,katelyn42@adventure-works.com,70000,South,Lynnwood,Washington,Bikes,3374.99,36
Jacqueline,1937-01-06,S,F,jacqueline9@adventure-works.com,120000,East,Newport Beach,California,Bikes,3578.27,82
Xavier,1937-06-28,M,M,xavier26@adventure-works.com,120000,South,Palo Alto,California,Bikes,3578.27,1
Victoria,1969-03-27,M,F,victoria24@adventure-works.com,100000,West,Salem,Oregon,Bikes,3578.27,61
Katelyn,1969-04-12,M,F,katelyn1@adventure-works.com,110000,East,Burlingame,California,Bikes,3374.99,37
Stephanie,1969-04-24,M,F,stephanie52@adventure-works.com,130000,East,San Diego,California,Bikes,3578.27,11
Jennifer,1968-05-04,M,F,jennifer88@adventure-works.com,80000,South,Port Hammond,British Columbia,Bikes,3374.99,57
Trinity,1968-09-11,M,F,trinity9@adventure-works.com,90000,West,Burien,Washington,Bikes,3578.27,6
Eduardo,1968-06-17,S,M,eduardo13@adventure-works.com,90000,South,Issaquah,Washington,Bikes,3578.27,20
Elizabeth,1968-07-13,M,F,elizabeth7@adventure-works.com,90000,East,Kirkland,Washington,Bikes,3374.99,3
Taylor,1968-05-05,S,F,taylor14@adventure-works.com,90000,South,Port Orchard,Washington,Bikes,3578.27,8
David,1968-10-02,S,M,david55@adventure-works.com,120000,West,Burlingame,California,Bikes,3374.99,94
Katelyn,1968-05-03,M,F,katelyn33@adventure-works.com,130000,East,Coronado,California,Bikes,3578.27,9
